prop,source_lang,structure,ablation,mean_delta_lex,std_delta_lex
0.0000,en,obj_pp,object,0.0044,0.0068
0.0000,en,obj_pp,subject,0.0006,0.0048
0.0000,en,obj_pp,verb,-0.0011,0.0017
0.0000,en,obj_rc,object,-0.0095,0.0199
0.0000,en,obj_rc,subject,-0.0099,0.0170
0.0000,en,obj_rc,verb,0.0000,0.0001
0.0000,en,plain,object,-0.0129,0.0229
0.0000,en,plain,subject,-0.0022,0.0046
0.0000,en,plain,verb,0.0028,0.0050
0.0000,en,subj_pp,object,0.0007,0.0009
0.0000,en,subj_pp,subject,0.0005,0.0013
0.0000,en,subj_pp,verb,-0.0010,0.0013
0.0000,en,subj_pp+obj_pp,object,-0.0006,0.0030
0.0000,en,subj_pp+obj_pp,subject,-0.0059,0.0069
0.0000,en,subj_pp+obj_pp,verb,-0.0010,0.0013
0.0000,en,subj_rc,object,-0.0001,0.0007
0.0000,en,subj_rc,subject,-0.0003,0.0007
0.0000,en,subj_rc,verb,-0.0000,0.0000
0.0000,nl,obj_pp,object,-0.0009,0.0009
0.0000,nl,obj_pp,subject,0.0005,0.0006
0.0000,nl,obj_pp,verb,-0.0000,0.0000
0.0000,nl,obj_rc,object,0.0082,0.0145
0.0000,nl,obj_rc,subject,0.0007,0.0006
0.0000,nl,obj_rc,verb,-0.0000,0.0000
0.0000,nl,plain,object,0.0121,0.0205
0.0000,nl,plain,subject,-0.0001,0.0002
0.0000,nl,plain,verb,0.0000,0.0000
0.0000,nl,subj_pp,object,0.0003,0.0007
0.0000,nl,subj_pp,subject,0.0005,0.0006
0.0000,nl,subj_pp,verb,0.0000,0.0000
0.0000,nl,subj_pp+obj_pp,object,0.0002,0.0009
0.0000,nl,subj_pp+obj_pp,subject,0.0007,0.0007
0.0000,nl,subj_pp+obj_pp,verb,0.0000,0.0000
0.0000,nl,subj_rc,object,0.0000,0.0000
0.0000,nl,subj_rc,subject,-0.0001,0.0002
0.0000,nl,subj_rc,verb,0.0000,0.0000
0.0100,en,obj_pp,object,-0.2202,0.0003
0.0100,en,obj_pp,subject,-0.2778,0.0830
0.0100,en,obj_pp,verb,-0.1269,0.0286
0.0100,en,obj_rc,object,-0.2000,0.0120
0.0100,en,obj_rc,subject,-0.2149,0.0111
0.0100,en,obj_rc,verb,-0.0925,0.0089
0.0100,en,plain,object,-0.1842,0.0268
