prop,seed,test_lang,structure,pos,en_frac,n
0.01,1,nl,subj_pp+obj_pp,det,0.0,28564
0.01,1,nl,subj_pp+obj_pp,noun,0.010380198851701442,28564
0.01,1,nl,subj_pp+obj_pp,prep,0.08412687298697662,14282
0.01,1,nl,subj_pp+obj_pp,aux,0.0,7141
0.01,1,nl,subj_pp+obj_pp,part,0.0,7141
0.01,1,nl,subj_pp,det,0.0,19737
0.01,1,nl,subj_pp,noun,0.011045161290322581,19375
0.01,1,nl,subj_pp,prep,0.08649106592729514,6492
0.01,1,nl,subj_pp,aux,0.0,7015
0.01,1,nl,subj_pp,part,0.0,6557
0.01,1,nl,obj_pp,det,0.0,20283
0.01,1,nl,obj_pp,noun,0.009701787301273822,20254
0.01,1,nl,obj_pp,aux,0.0,7274
0.01,1,nl,obj_pp,prep,0.08356751959769265,6761
0.01,1,nl,obj_pp,part,0.0,6277
0.01,1,en,subj_pp,det,1.0,21231
0.01,1,en,subj_pp,noun,0.9895200414488249,21231
0.01,1,en,subj_pp,prep,0.9161367811219443,7077
0.01,1,en,subj_pp,aux,1.0,7077
0.01,1,en,subj_pp,part,1.0,7077
0.01,1,en,plain,det,1.0,11816
0.01,1,en,plain,noun,0.9909021665538253,11816
0.01,1,en,plain,aux,1.0,5908
0.01,1,en,plain,part,1.0,5908
0.01,1,en,subj_rc,det,1.0,20378
0.01,1,en,subj_rc,noun,0.9893267248994013,20378
0.01,1,en,subj_rc,rel,1.0,8558
0.01,1,en,subj_rc,verb,1.0,8445
0.01,1,en,subj_rc,aux,1.0,7234
0.01,1,en,subj_rc,part,1.0,7347
0.01,1,en,obj_pp,det,1.0,21636
0.01,1,en,obj_pp,noun,0.9902708448881494,21636
0.01,1,en,obj_pp,aux,1.0,7212
0.01,1,en,obj_pp,part,1.0,7212
0.01,1,en,obj_pp,prep,0.918191902384914,7212
0.01,1,en,subj_pp+obj_pp,det,1.0,28666
0.01,1,en,subj_pp+obj_pp,noun,0.9898137165980604,28666
0.01,1,en,subj_pp+obj_pp,prep,0.9172656849745272,14329
0.01,1,en,subj_pp+obj_pp,aux,1.0,7167
0.01,1,en,subj_pp+obj_pp,part,1.0,7164
0.01,1,nl,plain,det,0.0,8916
0.01,1,nl,plain,noun,0.009982054733064155,8916
0.01,1,nl,plain,aux,0.0,4458
0.01,1,nl,plain,part,0.0,4458
0.01,1,nl,subj_rc,aux,0.0,14354
0.01,1,nl,subj_rc,det,0.0,21675
0.01,1,nl,subj_rc,noun,0.010806317539484621,21654
0.01,1,nl,subj_rc,verb,0.0,6998
0.01,1,nl,subj_rc,part,0.0,7247
0.01,1,en,obj_rc,det,1.0,21411
0.01,1,en,obj_rc,noun,0.9895847928634813,21411
0.01,1,en,obj_rc,aux,1.0,7137
0.01,1,en,obj_rc,part,1.0,7224
0.01,1,en,obj_rc,rel,1.0,7137
0.01,1,en,obj_rc,verb,1.0,7050
0.01,1,nl,obj_rc,aux,0.0,7675
0.01,1,nl,obj_rc,det,0.0,21487
0.01,1,nl,obj_rc,noun,0.010762289688880534,21278
0.01,1,nl,obj_rc,verb,0.0,7077
0.01,1,nl,obj_rc,part,0.0,7173
0.01,1,nl,obj_rc,rel,0.0,6960
0.01,1,nl,subj_rc,rel,0.0,532
0.01,1,nl,subj_pp,verb,0.0,33
0.01,1,nl,subj_pp,rel,0.0,2
0.01,2,en,subj_rc,det,1.0,21624
0.01,2,en,subj_rc,noun,0.9893174250832408,21624
0.01,2,en,subj_rc,rel,1.0,7208
0.01,2,en,subj_rc,verb,1.0,7121
0.01,2,en,subj_rc,aux,1.0,7208
0.01,2,en,subj_rc,part,1.0,7295
0.01,2,en,obj_rc,det,1.0,21693
0.01,2,en,obj_rc,noun,0.9894896971373254,21693
0.01,2,en,obj_rc,aux,1.0,7231
0.01,2,en,obj_rc,part,1.0,7313
0.01,2,en,obj_rc,rel,1.0,7231
0.01,2,en,obj_rc,verb,1.0,7149
0.01,2,en,subj_pp,det,1.0,21123
0.01,2,en,subj_pp,noun,0.9895138001230885,21123
0.01,2,en,subj_pp,prep,0.9154239454622923,7041
0.01,2,en,subj_pp,aux,1.0,7041
0.01,2,en,subj_pp,part,1.0,7041
0.01,2,nl,subj_pp+obj_pp,det,0.0,28500
0.01,2,nl,subj_pp+obj_pp,noun,0.010298245614035088,28500
0.01,2,nl,subj_pp+obj_pp,prep,0.08305263157894736,14250
0.01,2,nl,subj_pp+obj_pp,aux,0.0,7125
0.01,2,nl,subj_pp+obj_pp,part,0.0,7125
0.01,2,nl,subj_pp,det,0.0,20233
0.01,2,nl,subj_pp,noun,0.010612185965925499,20778
0.01,2,nl,subj_pp,prep,0.0900121802679659,8210
0.01,2,nl,subj_pp,aux,0.0,7249
0.01,2,nl,subj_pp,part,0.0,6875
0.01,2,nl,obj_pp,det,0.0,21581
0.01,2,nl,obj_pp,noun,0.009605615590652997,21654
0.01,2,nl,obj_pp,aux,0.0,7268
0.01,2,nl,obj_pp,prep,0.08614818850449468,7342
0.01,2,nl,obj_pp,part,0.0,7171
0.01,2,nl,plain,det,0.0,3740
0.01,2,nl,plain,noun,0.011229946524064172,3740
0.01,2,nl,plain,aux,0.0,1870
0.01,2,nl,plain,part,0.0,1870
0.01,2,en,plain,det,1.0,14352
0.01,2,en,plain,noun,0.9903149386845039,14352
0.01,2,en,plain,aux,1.0,7176
0.01,2,en,plain,part,1.0,7176
0.01,2,nl,subj_rc,rel,0.0,14021
0.01,2,nl,subj_rc,det,0.0,21063
0.01,2,nl,subj_rc,noun,0.010598210080075365,14861
0.01,2,nl,subj_rc,aux,0.0,12954
0.01,2,nl,subj_rc,part,0.0,7547
0.01,2,nl,obj_rc,rel,0.0,15292
0.01,2,nl,obj_rc,det,0.0,20657
0.01,2,nl,obj_rc,noun,0.009791243303159062,16239
0.01,2,nl,obj_rc,aux,0.0,5082
0.01,2,nl,obj_rc,verb,0.0,7660
0.01,2,nl,obj_rc,part,0.0,6970
0.01,2,en,subj_pp+obj_pp,det,1.0,28664
0.01,2,en,subj_pp+obj_pp,noun,0.9899176667596986,28664
