prop,seed,test_lang,structure,pos_idx,en_role,nl_role,en_frac,nl_frac,neither_frac,n
0.01,1,nl,subj_pp+obj_pp,6,part,det,0.0,1.0,0.0,7141
0.01,1,nl,subj_pp+obj_pp,7,det,noun,0.0,1.0,0.0,7141
0.01,1,nl,subj_pp+obj_pp,8,noun,prep,0.0,1.0,0.0,7141
0.01,1,nl,subj_pp+obj_pp,9,prep,det,0.0,1.0,0.0,7141
0.01,1,nl,subj_pp+obj_pp,10,det,noun,0.0,1.0,0.0,7141
0.01,1,nl,subj_pp+obj_pp,11,noun,part,0.0,1.0,0.0,7141
0.01,1,nl,subj_pp,6,part,det,0.0,0.9962000303997568,0.003799969600243198,6579
0.01,1,nl,subj_pp,7,det,noun,0.00045599635202918376,0.9962000303997568,0.003343973248214014,6579
0.01,1,nl,subj_pp,8,noun,part,0.00045599635202918376,0.9962000303997568,0.003343973248214014,6579
0.01,1,nl,obj_pp,3,part,det,0.0,0.9241236503475817,0.07587634965241828,6761
0.01,1,nl,obj_pp,4,det,noun,0.07587634965241828,0.9241236503475817,0.0,6761
0.01,1,nl,obj_pp,5,noun,prep,0.0738056500517675,0.9261943499482325,0.0,6761
0.01,1,nl,obj_pp,6,prep,det,0.0738056500517675,0.9261943499482325,0.0,6761
0.01,1,nl,obj_pp,7,det,noun,0.0738056500517675,0.9261943499482325,0.0,6761
0.01,1,nl,obj_pp,8,noun,part,0.0738056500517675,0.9261943499482325,0.0,6761
0.01,1,en,subj_pp,6,part,det,1.0,0.0,0.0,7077
0.01,1,en,subj_pp,7,det,noun,1.0,0.0,0.0,7077
0.01,1,en,subj_pp,8,noun,part,1.0,0.0,0.0,7077
0.01,1,en,plain,3,part,det,1.0,0.0,0.0,5908
0.01,1,en,plain,4,det,noun,1.0,0.0,0.0,5908
0.01,1,en,plain,5,noun,part,1.0,0.0,0.0,5908
0.01,1,en,subj_rc,3,verb,det,0.9876969864528615,0.0,0.012303013547138513,7234
0.01,1,en,subj_rc,4,det,noun,1.0,0.0,0.0,7234
0.01,1,en,subj_rc,5,noun,verb,1.0,0.0,0.0,7234
0.01,1,en,subj_rc,7,part,det,1.0,0.0,0.0,7234
0.01,1,en,subj_rc,8,det,noun,1.0,0.0,0.0,7234
0.01,1,en,subj_rc,9,noun,part,1.0,0.0,0.0,7234
0.01,1,en,obj_pp,3,part,det,1.0,0.0,0.0,7212
